"","Boops_boops","Diplodus_annularis","Diplodus_puntazzo","Diplodus_sargus","Diplodus_vulgaris","Lithognathus_mormyrus","Oblada_melanura","Pagellus_acarne","Pagellus_erythrinus","Pagrus_pagrus","Sarpa_salpa","Sparus_aurata"
"Akkermansia",0.0982720497911719,2.686417273412,3.36134453781513,3.17460317460317,3.92745302713987,5.46041201290643,5.25897319400273,9.06613990872556,0.0118962645729241,2.53547336589905,5.27597402597403,0.252047889098929
"Aliishimia",0,0.125533517449159,8.85913687508902,0,2.57045929018789,0.186150409530901,0.283961835529305,0.83100606225734,0.297406614323103,3.21780258974955,0.0446428571428571,0.773328750644441
"Alistipes",20.9155679305544,1.63193572683907,0,0.689720332577475,0.0913361169102296,0.198560436832961,1.36301681054066,1.8391117771269,0,0.697836706210747,3.47402597402597,0.0515552500429627
"Anaerotignum",14.2903939071329,12.1516444890786,0.0284859706594502,4.87528344671202,2.97494780793319,2.23380491437081,0.0227169468423444,1.7709965261222,0.92790863668808,0.372179576645732,39.5941558441558,2.06221000171851
"Coprobacter",0,6.50263620386643,0.0142429853297251,3.12736205593348,0.0391440501043841,0,1.52203543843707,3.03112866970915,0,0,2.10227272727273,0
"Desulfonatronovibrio",3.25116698059127,4.24303288978157,2.80586810995585,0,0.391440501043841,0.223380491437081,1.29486597001363,1.24650909338601,0.214132762312634,1.28712103589982,5.03652597402597,2.94437761356476
"Desulfovibrio",14.6998607812628,5.02134069796636,2.54949437402079,5.5177626606198,9.79906054279749,19.1859022089849,11.5288505224898,10.1627954499012,0.273614085177254,7.76924866247965,1.32305194805195,2.94437761356476
"Endozoicomonas",0.00818933748259766,2.23449661059503,0,0.18896447467876,6.589248434238,12.7823281211219,0,5.84428853620326,0.0118962645729241,0.232612235403582,0.0527597402597403,0.498367417081973
"Holdemania",0.0982720497911719,0.175746924428822,2.57798034468024,1.33219954648526,2.64874739039666,0.335070737155622,2.52158109950023,7.60847353722498,0,2.83011553074358,2.78814935064935,6.610528727731
"Listeria",0.00818933748259766,0.0251067034898318,3.3471015524854,9.68442932728647,4.90605427974948,11.6654256639365,0.0113584734211722,0.67434098494653,0,6.68372489726293,0,3.12768516927307
"Mucinivorans",8.00917205798051,2.98769771528998,1.28186867967526,27.1069538926682,0.991649269311065,1.09208240258129,0.885960926851431,14.0521762822696,0.0475850582916964,1.04675505931612,3.98133116883117,0.612934639399668
"Odoribacter",0.0163786749651953,0,0.227887765275602,0,2.08768267223382,14.5693720526185,4.71376646978646,4.9042980723384,0,2.32612235403582,0.308441558441558,1.26023944549464
"Other",30.5789861600197,34.0195832287221,50.8901865831078,40.0699168556311,45.3418580375783,22.3628691983122,22.0581553839164,29.0647776037055,41.1253866285986,31.3406218500426,13.612012987013,22.56401443547
"Prochlorococcus",0.311194824338711,0.527240773286467,14.6845178749466,0,2.2964509394572,0.297840655249442,2.06724216265334,5.35385872896942,0.0356887937187723,6.39683647359851,0,2.53766397433694
"Pseudoflavonifractor",0.122840062238965,6.25156916896811,0,0,0.404488517745303,0.0992802184164805,2.33984552476147,0.0885498263061099,0,0,9.25730519480519,0.00572836111588475
"Rubripirellula",0.270248136925723,16.3946773788602,0.740635237145706,0,0.117432150313152,0,0.0227169468423444,0.02724610040188,14.0494884606234,1.25610607117934,0.336850649350649,0.00572836111588475
"Spiroplasma",0,1.68214913381873,0,0.00944822373393802,1.70929018789144,0,0,0.01362305020094,31.9533666428741,0.876172753353493,0.00405844155844156,0.00572836111588475
"Vibrio",6.76439276062567,0.376600552347477,0.0569719413189004,0.00944822373393802,3.30114822546973,0.521221146686523,37.3920945024989,0.2043457530141,8.16083749702593,23.5791269287431,12.4066558441558,49.2295354299135
